startup,sector,subsector,city,investor,investmenttype,amountinusd,date
"Ball, Palmer and Allen",AI/ML,AI/ML Services,Hyderabad,"Investor_80, Investor_19, Investor_49",Series D+,3741315.68,2005-04-15
Hayes PLC,AI/ML,AI/ML Services,Chennai,Investor_89,Series A,5911387.32,2008-03-24
Williams-Stewart,SaaS,SaaS Services,Kolkata,"Investor_86, Investor_24",Pre-Seed,4609067.82,2018-01-03
Smith-Hardy,AI/ML,AI/ML Services,Gurgaon,"Investor_86, Investor_36",Series A,191528.34,2007-06-08
Evans LLC,CleanTech,CleanTech Services,Chennai,"Investor_49, Investor_90",Series C,2638614.56,2008-02-12
"Holden, Brown and Ashley",AI/ML,AI/ML Services,Delhi,"Investor_31, Investor_15",Series B,594384.94,2011-08-01
"Zimmerman, Brown and Washington",AgriTech,AgriTech Services,Hyderabad,Investor_47,Seed,417147.77,2017-12-13
Flowers Ltd,E-Commerce,E-Commerce Services,Bengaluru,Investor_85,Series D+,613714.39,2018-02-03
"Bowman, Mann and Ryan",CleanTech,CleanTech Services,Mumbai,"Investor_55, Investor_31, Investor_89",Series B,2763083.41,2016-04-14
Villanueva PLC,AgriTech,AgriTech Services,Kolkata,"Investor_6, Investor_69, Investor_98",Series C,844370.21,2010-04-09
"Anthony, Lara and Bullock",FinTech,FinTech Services,Pune,Investor_27,Series A,17428512.09,2011-03-27
"Hughes, Lewis and Scott",CleanTech,CleanTech Services,Chennai,"Investor_16, Investor_73, Investor_7",Pre-Seed,3614373.56,2014-03-19
"Davis, Smith and Miller",FoodTech,FoodTech Services,Ahmedabad,"Investor_64, Investor_34, Investor_16",Series A,2587774.35,2008-03-16
"Williams, Richards and Marshall",CleanTech,CleanTech Services,Kolkata,"Investor_49, Investor_32, Investor_12",Pre-Seed,1608677.55,2021-01-17
Carr-Brown,AgriTech,AgriTech Services,Hyderabad,"Investor_34, Investor_53",Pre-Seed,464212.68,2021-04-02
Davila Inc,HealthTech,HealthTech Services,Delhi,"Investor_17, Investor_99, Investor_14",Seed,1654115.52,2019-11-24
Norris-Barton,AgriTech,AgriTech Services,Ahmedabad,Investor_8,Series D+,17124337.47,2005-07-04
"Brown, Anderson and Winters",AI/ML,AI/ML Services,Gurgaon,"Investor_12, Investor_62, Investor_87",Series A,9193763.73,2022-09-10
"Anderson, Orozco and Miller",FinTech,FinTech Services,Gurgaon,"Investor_85, Investor_53",Seed,545444.01,2020-07-18
Mccarty Group,FinTech,FinTech Services,Hyderabad,"Investor_1, Investor_24",Series D+,54459.33,2014-07-02
Patrick-Garcia,AgriTech,AgriTech Services,Gurgaon,"Investor_25, Investor_35",Series C,634693.69,2014-12-08
Newman PLC,CleanTech,CleanTech Services,Noida,Investor_53,Series B,328872.75,2008-01-03
Edwards LLC,E-Commerce,E-Commerce Services,Ahmedabad,Investor_77,Series D+,1983653.05,2020-07-25
Hall and Sons,CleanTech,CleanTech Services,Hyderabad,"Investor_95, Investor_7, Investor_84",Seed,259285.5,2003-12-01
"Steele, Hoffman and Woodard",Logistics,Logistics Services,Pune,"Investor_4, Investor_16",Pre-Seed,7775954.85,2014-04-03
"Yang, Kemp and Stone",SaaS,SaaS Services,Gurgaon,"Investor_44, Investor_23",Series B,4026497.04,2011-07-08
"Benson, Moore and Lawrence",EdTech,EdTech Services,Ahmedabad,Investor_60,Series A,741370.7,2010-04-04
Garcia-King,CleanTech,CleanTech Services,Mumbai,Investor_35,Seed,485916.41,2008-05-05
"Burke, Jacobs and Paul",FoodTech,FoodTech Services,Gurgaon,"Investor_59, Investor_25, Investor_24",Series A,1547062.96,2005-09-24
Taylor-Collier,E-Commerce,E-Commerce Services,Delhi,"Investor_100, Investor_99",Series A,153459.0,2014-01-13
Oneill LLC,FoodTech,FoodTech Services,Bengaluru,"Investor_3, Investor_100, Investor_1",Series C,32123.06,2009-06-02
Sloan and Sons,HealthTech,HealthTech Services,Gurgaon,"Investor_51, Investor_30, Investor_82",Seed,885366.32,2015-08-01
Bowman-Larsen,EdTech,EdTech Services,Mumbai,Investor_2,Pre-Seed,966905.49,2019-01-26
Carter-Adams,FoodTech,FoodTech Services,Chennai,"Investor_61, Investor_60, Investor_16",Pre-Seed,206750.22,2022-06-07
"Drake, Cook and Hood",E-Commerce,E-Commerce Services,Gurgaon,"Investor_47, Investor_92",Series A,441264.22,2008-12-25
Lambert and Sons,AI/ML,AI/ML Services,Delhi,Investor_89,Series C,1141199.17,2016-08-27
Mercer Inc,SaaS,SaaS Services,Mumbai,"Investor_69, Investor_62, Investor_41",Series B,961706.28,2012-04-18
Knight Ltd,CleanTech,CleanTech Services,Kolkata,"Investor_29, Investor_20, Investor_36",Series D+,41732343.71,2006-09-18
Mcdaniel-Davis,FinTech,FinTech Services,Delhi,"Investor_82, Investor_69, Investor_6",Series C,754463.33,2007-05-20
"Dunlap, Johnson and Jones",EdTech,EdTech Services,Gurgaon,"Investor_45, Investor_57",Seed,9158443.59,2012-06-20
Blackburn PLC,HealthTech,HealthTech Services,Chennai,Investor_14,Series B,68143.74,2009-03-02
"Campbell, Perez and Richard",AI/ML,AI/ML Services,Mumbai,Investor_46,Pre-Seed,4929910.75,2019-07-02
"Salazar, Houston and Lawson",AgriTech,AgriTech Services,Gurgaon,"Investor_52, Investor_48, Investor_74",Series A,46680318.79,2006-06-27
"Coleman, Jacobs and Lawson",E-Commerce,E-Commerce Services,Mumbai,Investor_20,Series A,743603.48,2014-12-12
"Humphrey, Watson and Gallegos",CleanTech,CleanTech Services,Gurgaon,"Investor_75, Investor_97",Seed,370477.41,2011-08-06
Hoover-Blanchard,E-Commerce,E-Commerce Services,Gurgaon,"Investor_92, Investor_27, Investor_29",Series D+,13157148.72,2003-04-22
Pitts-Nelson,CleanTech,CleanTech Services,Mumbai,"Investor_21, Investor_66, Investor_9",Series B,23410040.23,2012-07-28
"Reynolds, Harrington and Caldwell",HealthTech,HealthTech Services,Mumbai,"Investor_26, Investor_58, Investor_50",Series C,1147314.25,2012-05-20
Bryant Inc,EdTech,EdTech Services,Ahmedabad,"Investor_53, Investor_44, Investor_12",Seed,142989.71,2009-08-12
"Schaefer, Hill and Richardson",AI/ML,AI/ML Services,Pune,Investor_41,Series C,1279810.68,2008-03-09
Roth-Rios,HealthTech,HealthTech Services,Pune,Investor_65,Series C,24971038.83,2022-10-16
Figueroa-Rivera,E-Commerce,E-Commerce Services,Mumbai,Investor_74,Series A,44933791.76,2012-06-10
Mathews-Riddle,AI/ML,AI/ML Services,Kolkata,"Investor_13, Investor_46, Investor_63",Pre-Seed,1139087.73,2009-05-04
"Watkins, Banks and Ward",FinTech,FinTech Services,Chennai,Investor_68,Series B,103173.0,2004-12-22
Floyd-Haney,AgriTech,AgriTech Services,Mumbai,"Investor_79, Investor_97, Investor_29",Seed,5077614.6,2010-05-22
"Simmons, Zimmerman and Smith",CleanTech,CleanTech Services,Chennai,"Investor_29, Investor_82",Series D+,1239672.14,2010-06-04
Short Inc,AI/ML,AI/ML Services,Chennai,Investor_47,Series B,747912.93,2004-05-07
"Rodriguez, Mejia and Anderson",FoodTech,FoodTech Services,Hyderabad,"Investor_50, Investor_28",Pre-Seed,5172305.9,2022-07-16
Russo-Stone,FoodTech,FoodTech Services,Hyderabad,"Investor_26, Investor_20, Investor_27",Series C,243402.24,2011-11-05
Ferguson-Weiss,FoodTech,FoodTech Services,Gurgaon,"Investor_45, Investor_57, Investor_29",Series A,78214.01,2009-04-18
Sanchez-Mitchell,Logistics,Logistics Services,Gurgaon,"Investor_57, Investor_63",Series A,1603354.75,2007-02-16
Griffith-Wallace,HealthTech,HealthTech Services,Gurgaon,"Investor_60, Investor_54, Investor_18",Series C,406782.65,2013-11-07
Rowe LLC,AI/ML,AI/ML Services,Gurgaon,"Investor_69, Investor_14, Investor_100",Series C,3329000.17,2011-06-27
Cross-Smith,CleanTech,CleanTech Services,Gurgaon,"Investor_34, Investor_78",Series C,880719.67,2019-11-23
Myers-Montgomery,E-Commerce,E-Commerce Services,Chennai,Investor_30,Series C,2813963.82,2018-07-06
Jensen LLC,Logistics,Logistics Services,Noida,"Investor_86, Investor_72, Investor_69",Seed,8185369.23,2022-10-07
Ford-Conway,Logistics,Logistics Services,Ahmedabad,"Investor_25, Investor_29, Investor_98",Seed,276817.29,2006-12-18
Sellers Ltd,FoodTech,FoodTech Services,Mumbai,"Investor_95, Investor_63, Investor_54",Series D+,1123154.67,2014-04-17
Wilson Ltd,HealthTech,HealthTech Services,Ahmedabad,Investor_50,Series C,2016894.6,2003-08-10
"Orr, Davis and Mercado",AI/ML,AI/ML Services,Ahmedabad,"Investor_25, Investor_39, Investor_62",Series D+,168226.36,2017-07-03
Bishop Ltd,AI/ML,AI/ML Services,Kolkata,Investor_47,Series C,501742.86,2015-07-16
Rivera-Khan,EdTech,EdTech Services,Hyderabad,Investor_46,Series D+,4718368.84,2010-08-24
"Garrett, Thompson and Freeman",Logistics,Logistics Services,Chennai,Investor_73,Seed,3189316.81,2017-04-15
Hodges Group,FinTech,FinTech Services,Ahmedabad,"Investor_78, Investor_71",Series B,4931461.93,2020-11-18
"Moore, Smith and Meza",HealthTech,HealthTech Services,Ahmedabad,"Investor_51, Investor_81",Series A,5544793.77,2020-02-15
Welch Inc,Logistics,Logistics Services,Kolkata,"Investor_3, Investor_1, Investor_16",Seed,928627.1,2003-10-27
"Knox, Lopez and Martinez",E-Commerce,E-Commerce Services,Hyderabad,"Investor_7, Investor_31, Investor_28",Series A,60584300.86,2022-07-09
Gordon and Sons,AI/ML,AI/ML Services,Mumbai,"Investor_41, Investor_31",Series C,8048804.16,2004-05-20
Davis-Brown,AI/ML,AI/ML Services,Ahmedabad,"Investor_15, Investor_97, Investor_46",Series C,14589206.36,2016-10-24
Wilson-Vargas,E-Commerce,E-Commerce Services,Noida,Investor_34,Series C,1762196.29,2016-08-26
Stone-Fitzgerald,E-Commerce,E-Commerce Services,Chennai,"Investor_40, Investor_80",Series C,320569.94,2011-04-04
"Frazier, Burns and Miranda",FoodTech,FoodTech Services,Kolkata,"Investor_34, Investor_62",Pre-Seed,3196432.38,2015-03-23
Lopez-Jacobs,CleanTech,CleanTech Services,Hyderabad,Investor_83,Pre-Seed,583663.72,2013-05-18
Vargas Group,HealthTech,HealthTech Services,Mumbai,"Investor_83, Investor_45",Pre-Seed,419252.53,2011-02-07
"Molina, Gray and Thompson",HealthTech,HealthTech Services,Chennai,Investor_1,Series B,1277865.13,2005-04-06
Chen-Leon,EdTech,EdTech Services,Delhi,"Investor_36, Investor_49, Investor_28",Series D+,504277.99,2008-05-17
"Jones, Johnston and Simmons",FoodTech,FoodTech Services,Kolkata,Investor_93,Series D+,1992304.36,2007-04-26
Curtis-Hall,CleanTech,CleanTech Services,Kolkata,"Investor_54, Investor_81",Seed,22666.31,2021-05-13
"Lynch, Alexander and Phillips",SaaS,SaaS Services,Hyderabad,"Investor_37, Investor_35",Series A,2399787.31,2014-12-22
"Donovan, Henry and Preston",Logistics,Logistics Services,Delhi,"Investor_94, Investor_53, Investor_63",Series D+,869236.85,2019-08-10
Gallagher-Wilson,Logistics,Logistics Services,Kolkata,"Investor_79, Investor_19",Series C,601866.32,2009-09-07
"Garcia, Allen and Williams",E-Commerce,E-Commerce Services,Delhi,Investor_48,Series A,925064.34,2003-01-26
"Hobbs, Jones and Carroll",AI/ML,AI/ML Services,Gurgaon,"Investor_18, Investor_78",Pre-Seed,3552077.26,2014-03-16
Gomez LLC,EdTech,EdTech Services,Chennai,"Investor_74, Investor_33",Series C,10755622.86,2005-04-22
Le-Reed,FinTech,FinTech Services,Chennai,"Investor_82, Investor_3",Series A,1990593.09,2022-01-17
Gray-Gonzalez,AI/ML,AI/ML Services,Pune,Investor_60,Series A,2817897.55,2009-05-11
Perez-Lopez,AI/ML,AI/ML Services,Kolkata,Investor_80,Pre-Seed,827136.05,2006-03-15
Long-Wright,FoodTech,FoodTech Services,Delhi,Investor_69,Pre-Seed,7889989.52,2015-09-13
Cordova PLC,Logistics,Logistics Services,Hyderabad,"Investor_10, Investor_20, Investor_37",Series B,6445097.0,2022-01-16
"Ingram, Moore and Pratt",SaaS,SaaS Services,Ahmedabad,"Investor_96, Investor_54, Investor_26",Pre-Seed,52204.05,2021-05-16
Taylor and Sons,SaaS,SaaS Services,Bengaluru,"Investor_28, Investor_75, Investor_3",Series A,90306.26,2006-08-01
"Cardenas, Roberts and Sanchez",FinTech,FinTech Services,Noida,"Investor_16, Investor_51",Pre-Seed,1799807.82,2019-07-18
Young Ltd,E-Commerce,E-Commerce Services,Pune,"Investor_1, Investor_54, Investor_97",Series D+,24336451.87,2009-01-16
"Santiago, Wyatt and Ho",CleanTech,CleanTech Services,Chennai,Investor_91,Pre-Seed,65425.37,2006-04-06
Archer LLC,AI/ML,AI/ML Services,Pune,"Investor_46, Investor_33",Series A,331034.01,2010-09-26
Daniels Inc,E-Commerce,E-Commerce Services,Pune,Investor_47,Series C,81579.76,2016-04-16
"Martinez, Logan and Ramirez",Logistics,Logistics Services,Kolkata,Investor_99,Series B,27146.29,2004-03-12
"Randall, Blanchard and Yoder",Logistics,Logistics Services,Gurgaon,Investor_79,Pre-Seed,14327179.0,2014-12-07
"Mcneil, Hudson and Harrell",CleanTech,CleanTech Services,Chennai,"Investor_32, Investor_69",Seed,2611245.06,2010-02-01
Mcclure-White,HealthTech,HealthTech Services,Chennai,"Investor_22, Investor_66, Investor_88",Series D+,1293869.78,2018-09-28
"Smith, Watts and Bell",EdTech,EdTech Services,Hyderabad,Investor_33,Pre-Seed,3689699.92,2021-09-03
Gallegos-Miller,SaaS,SaaS Services,Chennai,"Investor_50, Investor_54",Series A,650969.33,2018-10-03
Lowery LLC,AgriTech,AgriTech Services,Kolkata,"Investor_70, Investor_82, Investor_51",Series C,5636764.44,2021-05-06
Powell Group,Logistics,Logistics Services,Delhi,"Investor_62, Investor_57",Seed,630021.79,2008-05-23
"Young, Roach and Dixon",FoodTech,FoodTech Services,Hyderabad,Investor_15,Pre-Seed,345573.2,2012-05-22
Jordan LLC,AgriTech,AgriTech Services,Gurgaon,Investor_51,Series D+,1532876.0,2010-05-20
Myers-Cook,EdTech,EdTech Services,Gurgaon,"Investor_11, Investor_33",Series D+,4885222.07,2004-08-26
"Nguyen, Collins and Jacobs",AgriTech,AgriTech Services,Gurgaon,"Investor_5, Investor_85",Seed,534958.56,2005-06-14
"Cross, Hill and Doyle",CleanTech,CleanTech Services,Delhi,"Investor_39, Investor_100, Investor_17",Seed,3082309.39,2013-08-08
Key Group,FinTech,FinTech Services,Ahmedabad,"Investor_91, Investor_75",Series C,244881.34,2012-11-27
Vasquez Group,CleanTech,CleanTech Services,Noida,"Investor_10, Investor_1",Pre-Seed,1749695.07,2021-12-02
Anderson Ltd,SaaS,SaaS Services,Gurgaon,Investor_87,Series B,1733511.48,2010-08-04
Alexander-Baker,AI/ML,AI/ML Services,Ahmedabad,"Investor_71, Investor_46",Series D+,746016.85,2016-10-12
Morris-Ballard,AI/ML,AI/ML Services,Hyderabad,"Investor_84, Investor_83",Pre-Seed,313676.26,2007-06-21
Phillips-Swanson,SaaS,SaaS Services,Noida,"Investor_67, Investor_47",Series B,1490091.47,2009-09-04
Rivas LLC,EdTech,EdTech Services,Mumbai,Investor_16,Pre-Seed,6126194.58,2010-09-01
"Smith, Miranda and Gutierrez",E-Commerce,E-Commerce Services,Noida,"Investor_25, Investor_58, Investor_79",Pre-Seed,8934836.47,2007-07-18
Allen and Sons,Logistics,Logistics Services,Delhi,"Investor_44, Investor_81",Series A,331192.66,2015-07-21
"Chavez, Arnold and Tanner",AgriTech,AgriTech Services,Pune,"Investor_34, Investor_85, Investor_41",Seed,8511732.07,2012-10-04
Galvan-Green,E-Commerce,E-Commerce Services,Ahmedabad,"Investor_12, Investor_70, Investor_43",Series B,1326753.74,2008-07-15
"Mitchell, Duran and Ball",SaaS,SaaS Services,Noida,"Investor_90, Investor_25",Pre-Seed,14949838.28,2016-05-20
"Stevens, Lopez and Fernandez",AgriTech,AgriTech Services,Noida,"Investor_74, Investor_5, Investor_32",Series C,2232503.35,2011-01-26
"Barker, Robinson and Walker",E-Commerce,E-Commerce Services,Ahmedabad,"Investor_5, Investor_44",Pre-Seed,577881.5,2013-09-05
"Gomez, Tucker and Brown",HealthTech,HealthTech Services,Bengaluru,"Investor_37, Investor_58",Series D+,3384100.96,2021-04-02
Swanson PLC,E-Commerce,E-Commerce Services,Noida,"Investor_38, Investor_65",Series C,28161999.22,2013-08-05
"Deleon, Jones and Moore",FoodTech,FoodTech Services,Hyderabad,"Investor_69, Investor_65",Series B,331498.05,2017-04-16
Gibbs Inc,E-Commerce,E-Commerce Services,Ahmedabad,"Investor_13, Investor_74, Investor_94",Pre-Seed,3163165.54,2015-04-25
"Hanna, Martinez and Elliott",HealthTech,HealthTech Services,Mumbai,Investor_67,Pre-Seed,2126580.69,2003-04-05
"Bailey, Moore and White",AI/ML,AI/ML Services,Kolkata,"Investor_4, Investor_38",Series C,813020.1,2014-06-07
Hartman Ltd,HealthTech,HealthTech Services,Noida,"Investor_2, Investor_25",Seed,884369.52,2009-02-26
Foster PLC,E-Commerce,E-Commerce Services,Gurgaon,Investor_76,Series B,831275.86,2020-04-16
"Hale, Harris and Butler",FoodTech,FoodTech Services,Noida,"Investor_66, Investor_88",Seed,2070839.43,2017-11-11
White Inc,Logistics,Logistics Services,Pune,"Investor_55, Investor_19",Series C,2032806.46,2012-09-23
"Jackson, Russell and Kim",SaaS,SaaS Services,Ahmedabad,"Investor_18, Investor_14",Series A,4020213.05,2016-01-22
"Thomas, Taylor and Howard",EdTech,EdTech Services,Noida,"Investor_38, Investor_42",Seed,698208.15,2007-06-18
Wood PLC,FinTech,FinTech Services,Noida,Investor_75,Series D+,674181.46,2010-05-08
Cooper Group,FinTech,FinTech Services,Hyderabad,Investor_24,Seed,438579.61,2017-11-24
Smith and Sons,E-Commerce,E-Commerce Services,Chennai,Investor_19,Seed,2177689.38,2008-06-14
Larson-Rodriguez,HealthTech,HealthTech Services,Delhi,"Investor_92, Investor_21, Investor_71",Series D+,2748716.57,2015-07-15
Smith-Kaufman,AgriTech,AgriTech Services,Ahmedabad,"Investor_91, Investor_38, Investor_60",Seed,1587047.1,2006-11-10
Anderson and Sons,AI/ML,AI/ML Services,Bengaluru,Investor_71,Series C,1155345.43,2009-05-02
"Murphy, Elliott and Watson",Logistics,Logistics Services,Hyderabad,"Investor_96, Investor_50",Pre-Seed,1713305.98,2017-08-11
Pollard LLC,HealthTech,HealthTech Services,Bengaluru,Investor_96,Series D+,138212.51,2017-09-14
"Mason, Campbell and Hernandez",E-Commerce,E-Commerce Services,Chennai,Investor_97,Series B,1706987.35,2017-07-10
Ritter Inc,Logistics,Logistics Services,Gurgaon,"Investor_4, Investor_56",Series D+,705493.92,2016-02-04
Martin-Howell,E-Commerce,E-Commerce Services,Delhi,"Investor_2, Investor_16, Investor_12",Pre-Seed,5433242.56,2020-11-07
"Johnson, Brown and Gomez",SaaS,SaaS Services,Ahmedabad,Investor_38,Series C,3908588.03,2022-05-23
Morris Group,CleanTech,CleanTech Services,Gurgaon,Investor_3,Seed,188633.57,2005-12-08
Mccoy-Figueroa,E-Commerce,E-Commerce Services,Gurgaon,Investor_77,Series C,23576401.54,2010-07-02
Wallace and Sons,CleanTech,CleanTech Services,Bengaluru,"Investor_68, Investor_58",Series B,1031233.74,2018-11-23
Villarreal-Johnson,Logistics,Logistics Services,Hyderabad,"Investor_32, Investor_36",Seed,1098946.23,2021-01-19
